id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2384,(Hyde Park - Walk to UChicago/Theological Seminary),2613,Rebecca,,hyde park,41.7888649,-87.58670891,Private room,50,2,137,11/12/18,2.92,1,163
6715,(Lincoln Park Oasis - Unit 2 ONLY),15365,Reem,,OHARE,41.92926222,-87.66009125,Entire home/apt,255,4,93,8/12/18,0.81,2,303
7126,(Tiny Studio Apartment 94 Walk Score),17928,Sarah,,West Town,41.90289494,-87.6818216,Entire home/apt,80,2,321,10/29/18,2.81,1,362
9811,(Barbara's Hideaway - Old Town),33004,  At Home Inn,,Lincoln Park,41.91768924,-87.63787944,Entire home/apt,150,3,33,10/14/18,0.59,9,350
10610,(3 Comforts of Cooperative Living),2140,Lois And Ed,,hyde park,41.79708495,-87.59194894,Private room,35,2,31,7/29/18,0.63,5,179
10945,(The Biddle House (#1)),33004,  At Home Inn,,Lincoln Park,41.91182685,-87.63999816,Entire home/apt,215,3,9,11/5/18,0.16,9,357
12068,(Chicago GOLD COAST 1 Bedroom Condo),40731,Dominic,,Near North Side,41.9045209,-87.63320022,Entire home/apt,99,165,8,10/24/17,0.18,2,303
12140,(Lincoln Park Guest House),46734,Sharon And Robert,,Lincoln Park,41.92335308,-87.64950966,Private room,289,2,4,10/17/18,0.1,1,169
22362,(*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **),85811,Craig,,West Town,41.89616805,-87.66041074,Entire home/apt,99,60,9,10/12/14,0.15,1,280
22651,(beautifully furnished 3 bed/1bath 1),87231,Jeff And JoAnne,,Lake view,41.94910517,-87.65790583,Entire home/apt,185,1,174,10/21/18,1.69,17,71
24833,(Private Apt 1 Block to Fullerton L Red Line - Deck),101521,Red,,Lincoln Park,41.92679107,-87.65521134,Entire home/apt,99,32,37,7/29/18,0.36,4,341
25267,(Wrigleyville beautifully furnished 3 bedroom #2),87231,Jeff And JoAnne,,Lake view,41.94750674,-87.65928449,Entire home/apt,105,1,166,10/21/18,1.67,17,64
25269,"(Old Town, Furnished 2 bedroom: SWG)",87231,Jeff And JoAnne,,Lincoln Park,41.9142263,-87.63846122,Entire home/apt,115,1,172,10/15/18,1.68,17,165
25879,(Top 2/1  Block to Fullerton L Red Line Deck & Yard),101521,Red,,Lincoln Park,41.92693453,-87.65752711,Entire home/apt,99,32,43,9/18/17,0.42,4,162
